Name,URL,Category,Description
Occupational Personality Questionnaire (OPQ),https://www.shl.com/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/,Personality & Behavior,We recommend upgrading to a modern browser.
Job-Focused Assessments (JFA),https://www.shl.com/products/assessments/job-focused-assessments/,Other,We recommend upgrading to a modern browser.
Motivational Questionnaire (MQ),https://www.shl.com/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/,Other,We recommend upgrading to a modern browser.
Situational Judgment Tests (SJT),https://www.shl.com/products/assessments/behavioral-assessments/situation-judgement-tests-sjt/,Other,We recommend upgrading to a modern browser.
SHL Verify,https://www.shl.com/products/assessments/cognitive-assessments/,Other,We recommend upgrading to a modern browser.
Assessments,https://www.shl.com/products/assessments/,Other,We recommend upgrading to a modern browser.
Behavioral Assessments,https://www.shl.com/products/assessments/behavioral-assessments/,Personality & Behavior,We recommend upgrading to a modern browser.
Cognitive Assessments,https://www.shl.com/products/assessments/cognitive-assessments/,Other,We recommend upgrading to a modern browser.
Personality Assessments,https://www.shl.com/products/assessments/personality-assessment/,Personality & Behavior,We recommend upgrading to a modern browser.
Skills & Simulations,https://www.shl.com/products/assessments/skills-and-simulations/,Knowledge & Skills,We recommend upgrading to a modern browser.
Call Center Simulations,https://www.shl.com/products/assessments/skills-and-simulations/call-center-simulations/,Other,We recommend upgrading to a modern browser.
Business Skills,https://www.shl.com/products/assessments/skills-and-simulations/business-skills/,Knowledge & Skills,We recommend upgrading to a modern browser.
Coding Simulations,https://www.shl.com/products/assessments/skills-and-simulations/coding-simulations/,Coding,We recommend upgrading to a modern browser.
Technical Skills,https://www.shl.com/products/assessments/skills-and-simulations/technical-skills/,Knowledge & Skills,We recommend upgrading to a modern browser.
Language Evaluation,https://www.shl.com/products/assessments/skills-and-simulations/language-evaluation/,Language,We recommend upgrading to a modern browser.
Outsourced Assessments (VADC),https://www.shl.com/products/assessments/assessment-and-development-centers/,Other,We recommend upgrading to a modern browser.
